代码,名称,总市值,成交量
603260,合盛硅业,63319003760.0,133959
600025,华能水电,170847134337.0,252238
601555,东吴证券,45761753129.0,606383
601916,浙商银行,82943200608.0,974458
600299,安迪苏,27872002276.0,70428
002608,江苏国信,28260036186.0,194913
600519,贵州茅台,1755332205770.0,39169
601099,太平洋,30196281519.0,6978870
600332,白云山,40856126548.0,189027
601375,中原证券,20660836915.0,641632
603087,甘李药业,41584371942.0,113862
002262,恩华药业,25039139271.0,168527
600582,天地科技,24293516796.0,377934
000921,海信家电,33901401466.0,134109
601377,兴业证券,61574589406.0,1599156
000001,平安银行,221033408275.0,1061541
600436,片仔癀,102859551133.0,32646
601328,交通银行,622081040930.0,1343319
600732,爱旭股份,29006323945.0,436053
002304,洋河股份,95041619719.0,61758
002461,珠江啤酒,20938087421.0,63411
600958,东方证券,92868333042.0,1186162
002320,海峡股份,24313178451.0,584411
603816,顾家家居,25464997089.0,64623
000415,渤海租赁,25047311192.0,1075335
603049,中策橡胶,46994856037.0,55082
600161,天坛生物,33872372870.0,205845
600886,国投电力,106299683799.0,263195
600820,隧道股份,20845357103.0,794668
600809,山西汾酒,214286715594.0,53930
600030,中信证券,419866091666.0,2159691
002352,顺丰控股,194673196700.0,296269
601668,中国建筑,212800010787.0,2219781
002252,上海莱士,42881382047.0,469839
601788,光大证券,82072019974.0,432633
000513,丽珠集团,32346458240.0,127271
002222,福晶科技,33072682500.0,364246
601728,中国电信,573749759643.0,1643824
000410,沈阳机床,20079973408.0,365130
600511,国药股份,21910767062.0,67273
600027,华电国际,57942753178.0,870688
600585,海螺水泥,118439412641.0,229895
000564,供销大集,44783997118.0,4936131
000538,云南白药,101114161712.0,104493
600298,安琪酵母,38069535738.0,68575
603306,华懋科技,20132102524.0,108664
600352,浙江龙盛,36079450327.0,235813
601868,中国能建,100475704363.0,5284494
002847,盐津铺子,20085067858.0,48427
603195,公牛集团,75389827735.0,51203
601225,陕西煤业,216295450000.0,347083
600377,宁沪高速,59092778175.0,98800
601997,贵阳银行,21388758745.0,323138
002709,天赐材料,87823438727.0,927724
603259,药明康德,309415616974.0,924548
600546,山煤国际,20458947365.0,197883
002555,三七互娱,65659214372.0,1823010
000800,一汽解放,33513923440.0,206592
601818,光大银行,202663440139.0,2488322
000883,湖北能源,32352801469.0,272050
000967,盈峰环境,21693565736.0,363198
600066,宇通客车,69517691602.0,195518
000932,华菱钢铁,39033773619.0,1128807
601985,中国核电,183877938542.0,1853326
601229,上海银行,142090100700.0,508501
002266,浙富控股,23225757739.0,1400523
600392,盛和资源,41086254801.0,817563
601058,赛轮轮胎,50603862986.0,633184
600380,健康元,22136385971.0,308686
002948,青岛银行,25551357238.0,609198
601127,赛力斯,211807966607.0,223764
