factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_cashflow_lvl_fd_cashflow_raw_09,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标09原值,直接使用 现金流原始指标09 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_09 = 列(现金流原始指标09),fund_cashflow level fd_cashflow_raw_09,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_10,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标10原值,直接使用 现金流原始指标10 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_10 = 列(现金流原始指标10),fund_cashflow level fd_cashflow_raw_10,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_11,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标11原值,直接使用 现金流原始指标11 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_11 = 列(现金流原始指标11),fund_cashflow level fd_cashflow_raw_11,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_12,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标12原值,直接使用 现金流原始指标12 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_12 = 列(现金流原始指标12),fund_cashflow level fd_cashflow_raw_12,False,fundamental
fund_cashflow_lvl_fd_cashflow_score,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流综合评分原值,直接使用 现金流综合评分 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_score = 列(现金流综合评分),fund_cashflow level fd_cashflow_score,False,fundamental
fund_cashflow_lvl_fd_cashflow_trend,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流趋势变化原值,直接使用 现金流趋势变化 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_trend = 列(现金流趋势变化),fund_cashflow level fd_cashflow_trend,False,fundamental
fund_cashflow_neg_fd_cashflow_disp,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流离散度反向,对 现金流离散度 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_disp = -列(现金流离散度),fund_cashflow negative fd_cashflow_disp,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_01,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01反向,对 现金流原始指标01 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_01 = -列(现金流原始指标01),fund_cashflow negative fd_cashflow_raw_01,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_02,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标02反向,对 现金流原始指标02 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_02 = -列(现金流原始指标02),fund_cashflow negative fd_cashflow_raw_02,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_03,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标03反向,对 现金流原始指标03 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_03 = -列(现金流原始指标03),fund_cashflow negative fd_cashflow_raw_03,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_04,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标04反向,对 现金流原始指标04 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_04 = -列(现金流原始指标04),fund_cashflow negative fd_cashflow_raw_04,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_05,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标05反向,对 现金流原始指标05 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_05 = -列(现金流原始指标05),fund_cashflow negative fd_cashflow_raw_05,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_06,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标06反向,对 现金流原始指标06 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_06 = -列(现金流原始指标06),fund_cashflow negative fd_cashflow_raw_06,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_07,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标07反向,对 现金流原始指标07 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_07 = -列(现金流原始指标07),fund_cashflow negative fd_cashflow_raw_07,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_08,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标08反向,对 现金流原始指标08 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_08 = -列(现金流原始指标08),fund_cashflow negative fd_cashflow_raw_08,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_09,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标09反向,对 现金流原始指标09 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_09 = -列(现金流原始指标09),fund_cashflow negative fd_cashflow_raw_09,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_10,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标10反向,对 现金流原始指标10 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_10 = -列(现金流原始指标10),fund_cashflow negative fd_cashflow_raw_10,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_11,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标11反向,对 现金流原始指标11 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_11 = -列(现金流原始指标11),fund_cashflow negative fd_cashflow_raw_11,False,fundamental
fund_cashflow_neg_fd_cashflow_raw_12,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标12反向,对 现金流原始指标12 取负，构造方向相反的因子暴露。,fund_cashflow_neg_fd_cashflow_raw_12 = -列(现金流原始指标12),fund_cashflow negative fd_cashflow_raw_12,False,fundamental
