date,code,fund_mo_cf916e1ce7
2020-11-04,sh.600011,0.4750223662134901
2020-11-04,sh.600015,0.43000144827483694
2020-11-05,sh.600000,-0.08430364655157421
2020-11-05,sh.600009,-1.8673433423528043
2020-11-05,sh.600010,1.0467923075183478
2020-11-05,sh.600011,0.47200544905796277
2020-11-05,sh.600015,0.43284923232806777
2020-11-06,sh.600000,-0.07721984798655623
2020-11-06,sh.600009,-1.8676388162483923
2020-11-06,sh.600010,1.0525169250101805
2020-11-06,sh.600011,0.45026842395886335
2020-11-06,sh.600015,0.44207331526590504
2020-11-09,sh.600000,-0.07913543748396029
2020-11-09,sh.600009,-1.866494566106272
2020-11-09,sh.600010,1.0551876673156686
2020-11-09,sh.600011,0.45117208647320806
2020-11-09,sh.600015,0.43927024980135554
2020-11-10,sh.600000,-0.0780936628781284
2020-11-10,sh.600009,-1.866827203848086
2020-11-10,sh.600010,1.0548488166955703
2020-11-10,sh.600011,0.4493613910310655
2020-11-10,sh.600015,0.4407106589995784
2020-11-11,sh.600000,-0.0769930094427538
2020-11-11,sh.600009,-1.8677532596182265
2020-11-11,sh.600010,1.0522793520015872
2020-11-11,sh.600011,0.4500677778347436
2020-11-11,sh.600015,0.4423991392246494
2020-11-12,sh.600000,-0.08438454081922164
2020-11-12,sh.600009,-1.8646369851924367
2020-11-12,sh.600010,1.0574294749802042
2020-11-12,sh.600011,0.4596321274463559
2020-11-12,sh.600015,0.43195992358509844
2020-11-13,sh.600000,-0.08269337399191158
2020-11-13,sh.600009,-1.8665791037909198
2020-11-13,sh.600010,1.0514932641139167
2020-11-13,sh.600011,0.46307432505887486
2020-11-13,sh.600015,0.43470488861003986
2020-11-16,sh.600000,-0.08124752480037703
2020-11-16,sh.600009,-1.8678333062958312
2020-11-16,sh.600010,1.0479571529045844
2020-11-16,sh.600011,0.46418981732709724
2020-11-16,sh.600015,0.4369338608645265
2020-11-17,sh.600000,-0.08017722000430491
2020-11-17,sh.600009,-1.867854468139814
2020-11-17,sh.600010,1.0489240497598953
2020-11-17,sh.600011,0.4607869037114855
2020-11-17,sh.600015,0.438320734672738
2020-11-18,sh.600000,-0.07995803266595747
2020-11-18,sh.600009,-1.8695465369713096
2020-11-18,sh.600010,1.042371516338319
2020-11-18,sh.600011,0.4680387904995792
2020-11-18,sh.600015,0.4390942627993689
2020-11-19,sh.600000,-0.08094152162640533
2020-11-19,sh.600009,-1.870036853912512
2020-11-19,sh.600010,1.0393429936220007
2020-11-19,sh.600011,0.473667647703045
2020-11-19,sh.600015,0.4379677342138717
2020-11-20,sh.600000,-0.08051656945448797
2020-11-20,sh.600009,-1.86972118311739
2020-11-20,sh.600010,1.0410855826598973
2020-11-20,sh.600011,0.47072778755287686
2020-11-20,sh.600015,0.4384243823591039
2020-11-23,sh.600000,-0.0789372281228617
2020-11-23,sh.600009,-1.8716942075941856
2020-11-23,sh.600010,1.0345991044601557
2020-11-23,sh.600011,0.47499827929641786
2020-11-23,sh.600015,0.4410340519604736
2020-11-24,sh.600000,-0.07781749137463939
2020-11-24,sh.600009,-1.8739065908140986
2020-11-24,sh.600010,1.0264417778432258
2020-11-24,sh.600011,0.48216206747621077
2020-11-24,sh.600015,0.4431202368693015
2020-11-25,sh.600000,-0.07651626237621503
2020-11-25,sh.600009,-1.8743565373111588
2020-11-25,sh.600010,1.0259532912476002
2020-11-25,sh.600011,0.4799901315866415
2020-11-25,sh.600015,0.4449293768531322
2020-11-26,sh.600000,-0.07494183469351759
2020-11-26,sh.600009,-1.8737375788713246
2020-11-26,sh.600010,1.0302595351847659
2020-11-26,sh.600011,0.4716389495206595
2020-11-26,sh.600015,0.4467809288594169
2020-11-27,sh.600000,-0.07623236313731943
2020-11-27,sh.600009,-1.8749512971848725
2020-11-27,sh.600010,1.0237034550529924
2020-11-27,sh.600011,0.48201208286572395
2020-11-27,sh.600015,0.4454681224034755
2020-11-30,sh.600000,-0.07817853670083698
2020-11-30,sh.600009,-1.8745856089611956
2020-11-30,sh.600010,1.0230806912698547
2020-11-30,sh.600011,0.48683203800398467
2020-11-30,sh.600015,0.44285141638819336
2020-12-01,sh.600000,-0.08105007690361865
2020-12-01,sh.600009,-1.8740235163279026
2020-12-01,sh.600010,1.0221432290706873
2020-12-01,sh.600011,0.4939463789308358
2020-12-01,sh.600015,0.43898398522999815
2020-12-02,sh.600000,-0.08064647856104261
2020-12-02,sh.600009,-1.8756070923870527
2020-12-02,sh.600010,1.0154955391658562
2020-12-02,sh.600011,0.5007940880954687
2020-12-02,sh.600015,0.43996394368677055
2020-12-03,sh.600000,-0.08689073414602093
2020-12-03,sh.600009,-1.8721188213994662
2020-12-03,sh.600010,1.0232713267409306
2020-12-03,sh.600011,0.5048413629582793
2020-12-03,sh.600015,0.4308968658462772
2020-12-04,sh.600000,-0.08497467447321283
2020-12-04,sh.600009,-1.8737082313199107
2020-12-04,sh.600010,1.0185514781173894
2020-12-04,sh.600011,0.5063017756663503
2020-12-04,sh.600015,0.4338296520093841
2020-12-07,sh.600000,-0.08375209830816839
2020-12-07,sh.600009,-1.8745471189558833
2020-12-07,sh.600010,1.0163123162143237
2020-12-07,sh.600011,0.5063367658618364
2020-12-07,sh.600015,0.4356501351878914
2020-12-08,sh.600000,-0.08337454314418641
2020-12-08,sh.600009,-1.875299181681082
