factor,freq,category,description
fund_cashflow_neg_fd_cashflow_raw_04,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_04
fund_cashflow_neg_fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_05
fund_cashflow_neg_fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_06
fund_cashflow_neg_fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_07
fund_cashflow_neg_fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_08
fund_cashflow_neg_fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_09
fund_cashflow_neg_fd_cashflow_raw_10,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_10
fund_cashflow_neg_fd_cashflow_raw_11,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_11
fund_cashflow_neg_fd_cashflow_raw_12,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_12
fund_cashflow_neg_fd_cashflow_score,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_score
fund_cashflow_neg_fd_cashflow_trend,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_trend
fund_cashflow_ratio_fd_cashflow_raw_01__fd_cashflow_raw_02,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_01/fd_cashflow_raw_02
fund_cashflow_ratio_fd_cashflow_raw_01__fd_cashflow_raw_03,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_01/fd_cashflow_raw_03
fund_cashflow_ratio_fd_cashflow_raw_01__fd_cashflow_raw_04,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_01/fd_cashflow_raw_04
fund_cashflow_ratio_fd_cashflow_raw_01__fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_01/fd_cashflow_raw_05
fund_cashflow_ratio_fd_cashflow_raw_01__fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_01/fd_cashflow_raw_06
fund_cashflow_ratio_fd_cashflow_raw_01__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_01/fd_cashflow_raw_07
fund_cashflow_ratio_fd_cashflow_raw_01__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_01/fd_cashflow_raw_08
fund_cashflow_ratio_fd_cashflow_raw_01__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_01/fd_cashflow_raw_09
fund_cashflow_ratio_fd_cashflow_raw_02__fd_cashflow_raw_03,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_02/fd_cashflow_raw_03
fund_cashflow_ratio_fd_cashflow_raw_02__fd_cashflow_raw_04,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_02/fd_cashflow_raw_04
fund_cashflow_ratio_fd_cashflow_raw_02__fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_02/fd_cashflow_raw_05
fund_cashflow_ratio_fd_cashflow_raw_02__fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_02/fd_cashflow_raw_06
fund_cashflow_ratio_fd_cashflow_raw_02__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_02/fd_cashflow_raw_07
fund_cashflow_ratio_fd_cashflow_raw_02__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_02/fd_cashflow_raw_08
fund_cashflow_ratio_fd_cashflow_raw_02__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_02/fd_cashflow_raw_09
fund_cashflow_ratio_fd_cashflow_raw_03__fd_cashflow_raw_04,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_03/fd_cashflow_raw_04
fund_cashflow_ratio_fd_cashflow_raw_03__fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_03/fd_cashflow_raw_05
fund_cashflow_ratio_fd_cashflow_raw_03__fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_03/fd_cashflow_raw_06
fund_cashflow_ratio_fd_cashflow_raw_03__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_03/fd_cashflow_raw_07
fund_cashflow_ratio_fd_cashflow_raw_03__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_03/fd_cashflow_raw_08
fund_cashflow_ratio_fd_cashflow_raw_03__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_03/fd_cashflow_raw_09
fund_cashflow_ratio_fd_cashflow_raw_04__fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow ratio fd_cashflow_raw_04/fd_cashflow_raw_05
