signal_date,code,entry_date,exit_date,entry_price,exit_price,pred_prob_up,future_ret_ref,gross_trade_ret,net_trade_ret,weight,weighting_mode,industry_bucket,board_type
2025-10-13,sh.601238,2025-10-14,2025-10-21,7.608549123130128,7.744711838915037,0.5906730243594135,0.01789601586062628,0.01789601586062628,0.017285461417442916,0.021268096438107065,dynamic_opt,unknown,other_board
2025-10-13,sh.600009,2025-10-14,2025-10-21,31.337718819089826,31.438514397082862,0.5906730243594135,0.003216429969709056,0.003216429969709056,0.0026146806365272557,0.027107371717559336,dynamic_opt,unknown,other_board
2025-10-13,sz.002241,2025-10-14,2025-10-21,34.241965908703335,31.373553404428446,0.5902180988809557,-0.08376892004167136,-0.08376892004167136,-0.08431849381751355,0.164456995536406,dynamic_opt,unknown,other_board
2025-10-20,sz.001965,2025-10-21,2025-10-28,10.197422704605456,10.408269774187902,0.7456638243676444,0.020676505788683297,0.020676505788683297,0.02006428355188139,0.03076936570275074,dynamic_opt,unknown,other_board
2025-10-20,sz.300418,2025-10-21,2025-10-28,40.990627440083365,43.404307275243184,0.6811600214634544,0.0588837006383196,0.0588837006383196,0.05824856095984021,0.1568169295827361,dynamic_opt,unknown,other_board
2025-10-20,sz.301269,2025-10-21,2025-10-28,122.48038880023212,126.97101171777612,0.656418320809534,0.03666401586026358,0.03666401586026358,0.036042203994307354,0.20075185101365972,dynamic_opt,unknown,other_board
2025-10-20,sz.000301,2025-10-21,2025-10-28,9.093300767235194,9.125994782284614,0.6535958005665967,0.003595395762803655,0.003595395762803655,0.002993419118339391,0.017322340872876194,dynamic_opt,unknown,other_board
2025-10-20,sz.300866,2025-10-21,2025-10-28,119.05583903470581,124.62086025848143,0.6395656195588819,0.04674295077751145,0.04674295077751145,0.04611509336426889,0.08666039460567337,dynamic_opt,unknown,other_board
2025-10-20,sh.603501,2025-10-21,2025-10-28,127.80015578096132,133.03794678330195,0.5838731983164264,0.04098423018604702,0.04098423018604702,0.040359826968900725,0.24768562024458918,dynamic_opt,unknown,other_board
2025-10-20,sh.688047,2025-10-21,2025-10-28,135.203920521104,141.89699616686207,0.5838731983164264,0.04950356187868299,0.04950356187868299,0.04887404859554079,0.008965136690830697,dynamic_opt,unknown,other_board
2025-10-20,sz.002938,2025-10-21,2025-10-28,49.58824033625351,56.80320277236185,0.5838731983164264,0.14549744833015166,0.14549744833015166,0.14481035598885605,0.008965136690830697,dynamic_opt,unknown,other_board
2025-10-20,sz.002241,2025-10-21,2025-10-28,31.373553404428446,33.52420134876847,0.5838731983164264,0.06854970862291254,0.06854970862291254,0.06790877107900228,0.03709179621785114,dynamic_opt,unknown,other_board
2025-10-20,sz.002920,2025-10-21,2025-10-28,124.07193170527637,121.2732051737215,0.5838731983164264,-0.022557289896993127,-0.022557289896993127,-0.023143579636133116,0.20497142837720225,dynamic_opt,unknown,other_board
2025-10-27,sh.603195,2025-10-28,2025-11-04,43.267587215680535,43.378405024088096,0.6602011430638075,0.002561219969446249,0.002561219969446249,0.00195986364436207,0.03334975000781235,dynamic_opt,unknown,other_board
2025-10-27,sz.301269,2025-10-28,2025-11-04,126.97101171777612,118.65235504014272,0.656418320809534,-0.06551618802663839,-0.06551618802663839,-0.0660767101571832,0.2364905265107079,dynamic_opt,unknown,other_board
2025-10-27,sh.601688,2025-10-28,2025-11-04,22.035980617743437,21.304044887725432,0.6086353731044618,-0.033215482565346455,-0.033215482565346455,-0.03379537930678478,0.08968388529318608,dynamic_opt,unknown,other_board
2025-10-27,sh.688036,2025-10-28,2025-11-04,75.4362084358538,75.61443099601168,0.5838731983164264,0.002362559888046789,0.002362559888046789,0.0017613227232635698,0.0971008889301782,dynamic_opt,unknown,other_board
2025-10-27,sh.600436,2025-10-28,2025-11-04,178.0990997624703,177.69277293577983,0.5704774098433139,-0.002281464798156607,-0.002281464798156607,-0.002879916383801917,0.09733348386750182,dynamic_opt,unknown,other_board
2025-10-27,sh.600489,2025-10-28,2025-11-04,22.553265398606197,21.397142257710204,0.5625015076535614,-0.05126189580371754,-0.05126189580371754,-0.051830967944592965,0.06614293293261012,dynamic_opt,unknown,other_board
2025-10-27,sz.000975,2025-10-28,2025-11-04,21.544618926950825,20.955812551123287,0.5625015076535614,-0.027329625918421474,-0.027329625918421474,-0.027913053114711484,0.10704501707380787,dynamic_opt,unknown,other_board
2025-10-27,sh.688126,2025-10-28,2025-11-04,25.09071994258015,23.18672895367824,0.5625015076535614,-0.07588427088820471,-0.07588427088820471,-0.07643857403472776,0.046194331145571185,dynamic_opt,unknown,other_board
2025-10-27,sh.601607,2025-10-28,2025-11-04,18.3110282396592,17.87392481797516,0.5585270839697578,-0.023871047325365935,-0.023871047325365935,-0.024456549046454334,0.061653023437216424,dynamic_opt,unknown,other_board
2025-10-27,sz.000001,2025-10-28,2025-11-04,11.497886006876962,11.477798190385165,0.5585270839697578,-0.0017470878108184484,-0.0017470878108184484,-0.0023458599264971625,0.1650061608004079,dynamic_opt,unknown,other_board
2025-11-03,sz.300059,2025-11-04,2025-11-11,25.377555794033096,25.29679171619846,0.656418320809534,-0.0031825002569640937,-0.0031825002569640937,-0.003780411383471849,0.18386782760142226,dynamic_opt,unknown,other_board
2025-11-03,sz.302132,2025-11-04,2025-11-11,84.40327921745366,82.03147656088663,0.656418320809534,-0.028100835400688196,-0.028100835400688196,-0.028683800010064875,0.11274543298886784,dynamic_opt,unknown,other_board
2025-11-03,sh.601868,2025-11-04,2025-11-11,2.4159006519516977,2.464671187257506,0.6387263977581364,0.02018730996466611,0.02018730996466611,0.01957538115732982,0.06331352319194627,dynamic_opt,unknown,other_board
2025-11-03,sh.600036,2025-11-04,2025-11-11,42.43539850180441,42.73664675794052,0.5901778418359244,0.007098984969406974,0.007098984969406974,0.0064949068018758105,0.18386782760142226,dynamic_opt,unknown,other_board
2025-11-03,sh.600803,2025-11-04,2025-11-11,19.84556782841823,20.180109083949986,0.5844991311079235,0.016857227690491694,0.016857227690491694,0.016247296333284478,0.013186260405214185,dynamic_opt,unknown,other_board
2025-11-03,sz.000063,2025-11-04,2025-11-11,42.82166672196667,41.837916108152946,0.5838731983164264,-0.022973197661875666,-0.022973197661875666,-0.02355923793119774,0.14793426928751746,dynamic_opt,unknown,other_board
2025-11-03,sh.688506,2025-11-04,2025-11-11,374.45294062566506,350.62893883448385,0.5650794212944535,-0.06362348697642806,-0.06362348697642806,-0.06418514438701894,0.026440958423370433,dynamic_opt,unknown,other_board
2025-11-03,sh.601618,2025-11-04,2025-11-11,3.529744034404012,3.5354536764370796,0.5625015076535614,0.0016175796251554075,0.0016175796251554075,0.0010167893144736873,0.07886459350884187,dynamic_opt,unknown,other_board
2025-11-03,sh.600111,2025-11-04,2025-11-11,49.477042369113036,47.48483642160219,0.5625015076535614,-0.040265259443953316,-0.040265259443953316,-0.040840927587843856,0.1536692135166685,dynamic_opt,unknown,other_board
2025-11-03,sh.600930,2025-11-04,2025-11-11,6.418626226958405,6.5570421599475885,0.5585270839697578,0.021564728665272925,0.021564728665272925,0.020951973654577127,0.03611009347372906,dynamic_opt,unknown,other_board
2025-11-10,sh.688187,2025-11-11,2025-11-18,52.339849418041574,51.38018706812079,0.711899168102105,-0.018335214193240912,-0.018335214193240912,-0.0189240364180574,0.09128629078646301,dynamic_opt,unknown,other_board
2025-11-10,sh.601236,2025-11-11,2025-11-18,8.785773053869923,8.662532627653816,0.6602011430638075,-0.014027271756445914,-0.014027271756445914,-0.014618677971527383,0.045464388314309954,dynamic_opt,unknown,other_board
2025-11-10,sz.300316,2025-11-11,2025-11-18,41.98357132666939,37.12275009546476,0.6125295221778088,-0.1157791268728432,-0.1157791268728432,-0.11630950028469578,0.16738745013721926,dynamic_opt,unknown,other_board
2025-11-10,sh.601688,2025-11-11,2025-11-18,22.465762148364533,21.833523351193243,0.6086353731044618,-0.028142325775414978,-0.028142325775414978,-0.02872526549803267,0.07671996149087887,dynamic_opt,unknown,other_board
2025-11-10,sh.600938,2025-11-11,2025-11-18,28.918386936741996,28.94145462757549,0.6086353731044618,0.0007976824877180544,0.0007976824877180544,0.00019738396778157252,0.06273102292368761,dynamic_opt,unknown,other_board
2025-11-10,sh.601898,2025-11-11,2025-11-18,14.588554219831806,14.465528858209066,0.6085992845844723,-0.008433005750253852,-0.008433005750253852,-0.009027767518273278,0.03652957072829596,dynamic_opt,unknown,other_board
2025-11-10,sh.600219,2025-11-11,2025-11-18,4.890277718479461,4.7151556607172065,0.5964987042999396,-0.03581024797456078,-0.03581024797456078,-0.0363885883236712,0.03652957072829596,dynamic_opt,unknown,other_board
2025-11-10,sh.600036,2025-11-11,2025-11-18,42.73664675794052,42.554809888579385,0.5901778418359244,-0.004254823041968003,-0.004254823041968003,-0.004852090967764955,0.19826744503937818,dynamic_opt,unknown,other_board
2025-11-10,sh.601868,2025-11-11,2025-11-18,2.464671187257506,2.4194263975756014,0.5849731314545301,-0.01835733298494524,-0.01835733298494524,-0.0189461419424668,0.16287698521554528,dynamic_opt,unknown,other_board
2025-11-10,sh.688169,2025-11-11,2025-11-18,156.39098812651434,157.47493201716546,0.5838731983164264,0.00693098690426619,0.00693098690426619,0.006327009505343373,0.12220731463492589,dynamic_opt,unknown,other_board
2025-11-17,sh.601006,2025-11-18,2025-11-25,5.683533023837746,5.539296082965071,0.7087556778567954,-0.0253780421911326,-0.0253780421911326,-0.025962639986479297,0.08691077175609171,dynamic_opt,unknown,other_board
2025-11-17,sz.001391,2025-11-18,2025-11-25,6.561862220937794,6.315878139294036,0.6844163281220323,-0.03748693181332374,-0.03748693181332374,-0.03806426645384342,0.01288714356842206,dynamic_opt,unknown,other_board
2025-11-17,sz.002074,2025-11-18,2025-11-25,42.61409181357808,38.1268092674316,0.656418320809534,-0.10530043830988323,-0.10530043830988323,-0.10583709704927546,0.13541881778401452,dynamic_opt,unknown,other_board
2025-11-17,sz.301236,2025-11-18,2025-11-25,52.56858557529804,49.4530580871409,0.6212438062288401,-0.059265956161127176,-0.059265956161127176,-0.059830227306087,0.11010360132777977,dynamic_opt,unknown,other_board
2025-11-17,sh.600219,2025-11-18,2025-11-25,4.7151556607172065,4.519122424208198,0.6085992845844723,-0.04157513571463922,-0.04157513571463922,-0.04215001816847419,0.11151723138578168,dynamic_opt,unknown,other_board
2025-11-17,sz.002460,2025-11-18,2025-11-25,73.02691425714558,58.636813712115035,0.5964987042999396,-0.1970520141979475,-0.1970520141979475,-0.19753363850213723,0.08332348042309798,dynamic_opt,unknown,other_board
2025-11-17,sz.000792,2025-11-18,2025-11-25,27.470599706733054,25.542652526172866,0.5964987042999396,-0.07018220210491355,-0.07018220210491355,-0.07073992546664198,0.08332348042309798,dynamic_opt,unknown,other_board
2025-11-17,sh.603260,2025-11-18,2025-11-25,62.50750637713193,56.53677561069808,0.5844991311079235,-0.09552022009022454,-0.09552022009022454,-0.09606274520063718,0.09611637175523183,dynamic_opt,unknown,other_board
2025-11-17,sh.601689,2025-11-18,2025-11-25,61.26771466476672,62.23270954082308,0.5838731983164264,0.01575046305114247,0.01575046305114247,0.015141195553560971,0.14002718341157044,dynamic_opt,unknown,other_board
2025-11-17,sz.002241,2025-11-18,2025-11-25,28.337671965652117,28.30396768717215,0.5838731983164264,-0.0011893806422000885,-0.0011893806422000885,-0.0017884872818229036,0.14037191816391184,dynamic_opt,unknown,other_board
2025-11-24,sh.600875,2025-11-25,2025-12-02,20.444529722429397,20.93441481644877,0.6985147853226298,0.023961670954010916,0.023961670954010916,0.023347478209261974,0.14580039826957153,dynamic_opt,unknown,other_board
2025-11-24,sz.002600,2025-11-25,2025-12-02,13.33491743748763,14.47642725604621,0.6985147853226298,0.08560306607886736,0.08560306607886736,0.08495189958916716,0.13475820443168082,dynamic_opt,unknown,other_board
2025-11-24,sh.601818,2025-11-25,2025-12-02,3.6159625003777918,3.6042939480260743,0.6952446766414233,-0.0032269561289685056,-0.0032269561289685056,-0.003824840589952694,0.1377008651161301,dynamic_opt,unknown,other_board
2025-11-24,sh.601166,2025-11-25,2025-12-02,20.986423062559872,21.182374344333045,0.6952446766414233,0.009337050015052029,0.009337050015052029,0.008731629411224295,0.14580039826957153,dynamic_opt,unknown,other_board
2025-11-24,sh.601236,2025-11-25,2025-12-02,8.515618596115614,8.604197911354516,0.6602011430638075,0.010401982455895409,0.010401982455895409,0.009795923084233715,0.048541274041730476,dynamic_opt,unknown,other_board
2025-11-24,sh.688009,2025-11-25,2025-12-02,5.190777484158914,5.238972044762632,0.6602011430638075,0.009284651624884344,0.009284651624884344,0.008679262450661751,0.054245097054980894,dynamic_opt,unknown,other_board
2025-11-24,sz.001965,2025-11-25,2025-12-02,10.1304415002936,9.8319929143426,0.6602011430638075,-0.029460570493726412,-0.029460570493726412,-0.0300427195067261,0.05650188887065806,dynamic_opt,unknown,other_board
2025-11-24,sh.600918,2025-11-25,2025-12-02,6.621566139363354,6.569888182322564,0.6602011430638075,-0.0078044915589639,-0.0078044915589639,-0.008399630322399432,0.06590935041450172,dynamic_opt,unknown,other_board
2025-11-24,sh.601998,2025-11-25,2025-12-02,7.766213986284297,7.88285929516937,0.6387263977581364,0.015019584715288747,0.015019584715288747,0.014410755613190274,0.10124305248485191,dynamic_opt,unknown,other_board
2025-11-24,sz.001979,2025-11-25,2025-12-02,9.469724967171148,9.344907852805003,0.6387263977581364,-0.013180648308143916,-0.013180648308143916,-0.013772562344947836,0.10949947104532302,dynamic_opt,unknown,other_board
2025-12-01,sh.601901,2025-12-02,2025-12-09,7.706880989154457,7.816669108181293,0.7297738947341966,0.014245467028791703,0.014245467028791703,0.01363710225800574,0.09856406860379721,dynamic_opt,unknown,other_board
2025-12-01,sh.603392,2025-12-02,2025-12-09,48.490281559045954,48.15898665514593,0.6853557641901494,-0.006832191796981135,-0.006832191796981135,-0.007427913765312488,0.025272275695610313,dynamic_opt,unknown,other_board
2025-12-01,sh.600161,2025-12-02,2025-12-09,17.194014886532166,17.23321414560332,0.6602011430638075,0.0022798200029974236,0.0022798200029974236,0.0016786324672564135,0.022691120974325144,dynamic_opt,unknown,other_board
