factor,freq,category,description
hf_5min_to_W_last_ma_gap_6,W,auto_panel,auto passthrough: hf_5min_to_W_last_ma_gap_6
hf_5min_to_W_last_morning_momentum_30m,W,auto_panel,auto passthrough: hf_5min_to_W_last_morning_momentum_30m
hf_5min_to_W_last_open,W,auto_panel,auto passthrough: hf_5min_to_W_last_open
hf_5min_to_W_last_range_norm,W,auto_panel,auto passthrough: hf_5min_to_W_last_range_norm
hf_5min_to_W_last_realized_vol_20,W,auto_panel,auto passthrough: hf_5min_to_W_last_realized_vol_20
hf_5min_to_W_last_ret_1,W,auto_panel,auto passthrough: hf_5min_to_W_last_ret_1
hf_5min_to_W_last_ret_12,W,auto_panel,auto passthrough: hf_5min_to_W_last_ret_12
hf_5min_to_W_last_ret_1d,W,auto_panel,auto passthrough: hf_5min_to_W_last_ret_1d
hf_5min_to_W_last_ret_20d,W,auto_panel,auto passthrough: hf_5min_to_W_last_ret_20d
hf_5min_to_W_last_ret_3,W,auto_panel,auto passthrough: hf_5min_to_W_last_ret_3
hf_5min_to_W_last_ret_5d,W,auto_panel,auto passthrough: hf_5min_to_W_last_ret_5d
hf_5min_to_W_last_ret_6,W,auto_panel,auto passthrough: hf_5min_to_W_last_ret_6
hf_5min_to_W_last_ret_vol_corr_20,W,auto_panel,auto passthrough: hf_5min_to_W_last_ret_vol_corr_20
hf_5min_to_W_last_rv_12,W,auto_panel,auto passthrough: hf_5min_to_W_last_rv_12
hf_5min_to_W_last_vol_chg_1,W,auto_panel,auto passthrough: hf_5min_to_W_last_vol_chg_1
